RGAP,Objective Function,Time
0.0501114,1.21256e+06,0.006
0.04904959611,1212379.942,0.007
0.00722447512,1201293.869,0.009
0.004929028696,1200794.895,0.009
0.004919540039,1200789.981,0.011
0.004541501464,1200700.178,0.012
0.002892060977,1200237.891,0.013
0.002866427331,1200213.004,0.014
0.002711283346,1200142.878,0.016
0.002271534794,1200046.279,0.017
0.002241142521,1200039.005,0.018
0.002164479475,1200025.305,0.02
0.002135342529,1200001.66,0.021
0.002131488946,1200000.203,0.022
0.002091278139,1199995.045,0.023
0.001962203362,1199972.291,0.024
0.001895359435,1199960.105,0.025
0.001896805568,1199955.867,0.026
0.00189474974,1199954.862,0.028
0.001906939286,1199935.793,0.029
0.00187263651,1199925.845,0.03
0.00163179961,1199867.523,0.031
0.001590771327,1199861.798,0.033
0.001590251394,1199861.335,0.034
0.001357875838,1199814.946,0.035
0.001057620353,1199654.573,0.036
0.001019674072,1199638.933,0.038
0.001011448104,1199635.46,0.039
0.000963809895,1199618.166,0.041
0.0009672687284,1199616.588,0.042
0.0008290797523,1199502.379,0.044
0.0007902832001,1199468.215,0.045
0.0008049533959,1199448.796,0.046
0.0007110024085,1199429.389,0.047
0.0007027431161,1199428.68,0.048
0.0007076527403,1199422.891,0.049
0.0007059082441,1199419.426,0.05
0.0007058874658,1199419.373,0.052
0.0005576921297,1199187.415,0.061
0.0004592388522,1199168.72,0.07
0.0004500908912,1199167.271,0.08
0.0004327107037,1199166.562,0.089
0.0004181190393,1199166.172,0.098
0.0004075885175,1199165.97,0.108
0.0004001680908,1199165.866,0.117
0.0003946870304,1199165.812,0.125
0.0003907835774,1199165.787,0.135
0.0003881812511,1199165.774,0.144
0.0003863504777,1199165.768,0.154
0.0003850597676,1199165.765,0.164
0.0003841496258,1199165.763,0.176
0.0003835079367,1199165.763,0.185
0.0003830555677,1199165.762,0.2
0.0003827366875,1199165.762,0.212
0.0003825119174,1199165.762,0.222
0.0003823534892,1199165.762,0.231
0.0003822418247,1199165.762,0.24
0.0003821631221,1199165.762,0.252
0.0003821631221,1199165.762,0.253
0.0003979292109,1199163.785,0.254
0.0002988171703,1199112.93,0.257
0.0002986884639,1199112.873,0.258
0.0002989445496,1199112.71,0.259
0.0002622407549,1199103.39,0.26
0.000262205343,1199103.39,0.261
0.0002572765295,1199101.522,0.261
0.0002572765295,1199101.522,0.262
0.0002229187168,1199100.588,0.263
0.0002238946818,1199100.414,0.263
0.0002252715696,1199100.214,0.264
0.0002273008107,1199100.078,0.265
0.0002277072221,1199100.052,0.266
0.0002298763324,1199097.402,0.266
0.0002298763324,1199097.402,0.267
0.0002298763324,1199097.402,0.268
0.0002296966067,1199097.371,0.269
0.0002296966067,1199097.371,0.27
0.0002299027468,1199097.342,0.272
0.0002303945095,1199097.268,0.272
0.0002218626969,1199095.475,0.273
0.000174347275,1199083.253,0.274
0.000143247674,1199081.964,0.274
0.000143247674,1199081.964,0.275
0.0001148681635,1199078.697,0.276
6.543540634e-05,1199078.012,0.276
6.524523406e-05,1199077.845,0.277
6.412185756e-05,1199076.859,0.277
5.382688127e-05,1199076.465,0.278
3.385180771e-05,1199068.733,0.279
3.384958611e-05,1199068.733,0.28
3.384996048e-05,1199068.733,0.281
3.002222645e-05,1199068.69,0.281
2.850901992e-05,1199068.16,0.282
3.069309876e-05,1199066.519,0.282
2.948721173e-05,1199066.284,0.283
2.933686792e-05,1199066.277,0.283
7.666069461e-06,1199065.348,0.292
5.446599395e-06,1199065.215,0.302
4.002001746e-06,1199065.181,0.311
3.003392022e-06,1199065.174,0.321
2.487314309e-06,1199065.171,0.332
2.162273365e-06,1199065.17,0.341
1.965840124e-06,1199065.17,0.351
1.848379435e-06,1199065.17,0.36
1.778694583e-06,1199065.17,0.369
1.737538594e-06,1199065.17,0.378
1.713278038e-06,1199065.17,0.388
1.698990284e-06,1199065.17,0.397
1.690579279e-06,1199065.17,0.407
1.685628766e-06,1199065.17,0.416
1.682715256e-06,1199065.17,0.425
1.681000637e-06,1199065.17,0.435
1.679991591e-06,1199065.17,0.444
1.67939777e-06,1199065.17,0.453
1.679048314e-06,1199065.17,0.464
1.678842662e-06,1199065.17,0.475
1.678842662e-06,1199065.17,0.475
1.678597036e-06,1199065.17,0.477
1.678884731e-06,1199065.17,0.479
1.678884728e-06,1199065.17,0.48
1.678884728e-06,1199065.17,0.481
1.659825569e-06,1199065.17,0.482
1.659825569e-06,1199065.17,0.483
9.77329963e-07,1199065.165,0.485
9.77329963e-07,1199065.165,0.486
1.011822035e-06,1199065.158,0.487
9.999794974e-07,1199065.158,0.488
1.002084621e-06,1199065.158,0.488
9.945616701e-07,1199065.158,0.49
9.95985792e-07,1199065.158,0.491
9.982738048e-07,1199065.158,0.492
2.013614843e-06,1199065.153,0.492
2.013614843e-06,1199065.153,0.493
2.013614843e-06,1199065.153,0.494
1.994706545e-06,1199065.153,0.496
1.994706545e-06,1199065.153,0.497
2.030724492e-06,1199065.152,0.498
2.030724492e-06,1199065.152,0.499
2.711313529e-06,1199065.147,0.5
1.434552113e-06,1199065.144,0.502
1.434552113e-06,1199065.144,0.503
1.420061057e-06,1199065.144,0.504
1.418444487e-06,1199065.144,0.505
1.418432387e-06,1199065.144,0.507
1.418432387e-06,1199065.144,0.508
1.506140222e-06,1199065.144,0.509
1.473370142e-06,1199065.144,0.51
1.473370142e-06,1199065.144,0.512
1.473370142e-06,1199065.144,0.513
1.435974582e-06,1199065.144,0.514
1.460942518e-06,1199065.143,0.515
1.460942518e-06,1199065.143,0.516
3.005878976e-06,1199065.14,0.518
2.225894992e-06,1199065.139,0.519
1.082054258e-06,1199065.124,0.529
7.224721764e-07,1199065.113,0.539
1.149286545e-06,1199065.102,0.55
1.434923749e-06,1199065.09,0.559
1.439866669e-06,1199065.079,0.569
1.405695653e-06,1199065.068,0.579
8.674590044e-07,1199065.062,0.589
3.247306578e-07,1199065.062,0.598
2.266039866e-07,1199065.062,0.608
2.089569827e-07,1199065.062,0.616
2.044216801e-07,1199065.062,0.627
2.029512567e-07,1199065.062,0.637
2.02315821e-07,1199065.062,0.647
2.019996858e-07,1199065.062,0.656
2.018285686e-07,1199065.062,0.665
2.017313788e-07,1199065.062,0.675
2.01674105e-07,1199065.062,0.686
2.01639341e-07,1199065.062,0.695
2.01617719e-07,1199065.062,0.706
2.016040076e-07,1199065.062,0.715
2.016040076e-07,1199065.062,0.716
2.016028755e-07,1199065.062,0.717
2.016025882e-07,1199065.062,0.72
2.016025881e-07,1199065.062,0.721
2.016025881e-07,1199065.062,0.722
2.016008049e-07,1199065.062,0.724
2.016008047e-07,1199065.062,0.725
2.01600812e-07,1199065.062,0.725
2.016007836e-07,1199065.062,0.726
2.336634809e-07,1199065.057,0.727
2.220021657e-07,1199065.057,0.728
2.263575021e-07,1199065.057,0.729
2.263575021e-07,1199065.057,0.73
