RGAP,Objective Function,Time
0.47875,5.79276e+06,0.001
0.4438570228,5715862.612,0.002
0.4438570228,5715862.612,0.002
0.4438570228,5715862.612,0.003
0.4438570228,5715862.612,0.004
0.4438570228,5715862.612,0.004
0.4438570228,5715862.612,0.005
0.4438570228,5715862.612,0.005
0.4438570228,5715862.612,0.006
0.4438570228,5715862.612,0.007
0.4438570228,5715862.612,0.008
0.4438570228,5715862.612,0.008
0.4371940263,5688978.831,0.009
0.4371940263,5688978.831,0.009
0.4371940263,5688978.831,0.01
0.4371940263,5688978.831,0.01
0.4371940263,5688978.831,0.011
0.4371940263,5688978.831,0.011
0.4371940263,5688978.831,0.012
0.4371940263,5688978.831,0.012
0.4371940263,5688978.831,0.013
0.4371940263,5688978.831,0.013
0.4371940263,5688978.831,0.013
0.4309347491,5672507.066,0.014
0.4309347491,5672507.066,0.015
0.4309347491,5672507.066,0.016
0.4309347491,5672507.066,0.017
0.4309347491,5672507.066,0.018
0.4309347491,5672507.066,0.019
0.4309347491,5672507.066,0.019
0.4309347491,5672507.066,0.02
0.4309347491,5672507.066,0.021
0.4309347491,5672507.066,0.022
0.4309347491,5672507.066,0.022
0.419996278,5634588.23,0.023
0.419996278,5634588.23,0.024
0.419996278,5634588.23,0.024
0.419996278,5634588.23,0.025
0.419996278,5634588.23,0.026
0.419996278,5634588.23,0.027
0.419996278,5634588.23,0.027
0.419996278,5634588.23,0.028
0.419996278,5634588.23,0.029
0.419996278,5634588.23,0.03
0.419996278,5634588.23,0.03
0.4063276665,5578817.855,0.031
0.4063276665,5578817.855,0.031
0.4063276665,5578817.855,0.032
0.4063276665,5578817.855,0.032
0.4063276665,5578817.855,0.033
0.4063276665,5578817.855,0.033
0.4063276665,5578817.855,0.034
0.4063276665,5578817.855,0.034
0.4063276665,5578817.855,0.035
0.4063276665,5578817.855,0.035
0.4063276665,5578817.855,0.036
0.4028604338,5574056.813,0.036
0.4028604338,5574056.813,0.037
0.4028604338,5574056.813,0.038
0.4028604338,5574056.813,0.038
0.4028604338,5574056.813,0.039
0.4028604338,5574056.813,0.039
0.4028604338,5574056.813,0.04
0.4028604338,5574056.813,0.04
0.4028604338,5574056.813,0.041
0.4028604338,5574056.813,0.041
0.4028604338,5574056.813,0.042
0.3594461759,5432392.753,0.042
0.3594461759,5432392.753,0.043
0.3594461759,5432392.753,0.043
0.3594461759,5432392.753,0.043
