RGAP,Objective Function,Time
0.47875,5.79276e+06,0
0.4455349094,5714059.711,0.001
0.4453734557,5714027.736,0.001
0.4452924487,5714020.711,0.002
0.4452518677,5714019.423,0.003
0.4452417141,5714019.331,0.003
0.4452391751,5714019.323,0.004
0.4452379055,5714019.321,0.004
0.4452372707,5714019.321,0.004
0.4452369533,5714019.32,0.005
0.4452367946,5714019.32,0.005
0.4452367946,5714019.32,0.006
0.438610056,5686814.119,0.007
0.438610056,5686814.119,0.007
0.438610056,5686814.119,0.008
0.438610056,5686814.119,0.008
0.438610056,5686814.119,0.008
0.438610056,5686814.119,0.009
0.438610056,5686814.119,0.009
0.438610056,5686814.119,0.01
0.438610056,5686814.119,0.01
0.438610056,5686814.119,0.011
0.438610056,5686814.119,0.011
0.431780072,5668382.885,0.012
0.431780072,5668382.885,0.012
0.431780072,5668382.885,0.013
0.431780072,5668382.885,0.014
0.431780072,5668382.885,0.014
0.431780072,5668382.885,0.015
0.431780072,5668382.885,0.015
0.431780072,5668382.885,0.016
0.431780072,5668382.885,0.017
0.431780072,5668382.885,0.017
0.431780072,5668382.885,0.018
0.4196860821,5625447.103,0.018
0.4208021499,5609136.008,0.019
0.4231861832,5604314.266,0.02
0.4238369592,5604181.73,0.02
0.4238142073,5604177.204,0.021
0.4238085354,5604177.087,0.021
0.4238049975,5604177.064,0.022
0.4238035772,5604177.061,0.022
0.4238036858,5604177.061,0.023
0.4238036963,5604177.061,0.023
0.4238036963,5604177.061,0.024
0.4087030614,5547495.025,0.024
0.4086354523,5547468.506,0.025
0.4085996884,5547464.695,0.025
0.40859741,5547464.667,0.026
0.408596269,5547464.662,0.026
0.4085959835,5547464.662,0.027
0.4085959478,5547464.662,0.027
0.4085959467,5547464.662,0.028
0.4085959464,5547464.662,0.028
0.4085959464,5547464.662,0.029
0.4085959464,5547464.662,0.029
0.4033076482,5530501.271,0.03
0.4017096851,5522362.606,0.03
0.4012128095,5520345.2,0.031
0.4011720164,5520166.254,0.032
0.40118214,5520146.034,0.032
0.4011558949,5520136.309,0.033
0.4011476479,5520131.622,0.033
0.4011405317,5520130.447,0.034
0.4011369754,5520130.154,0.034
0.4011351964,5520129.865,0.035
0.4011351964,5520129.865,0.035
0.356695907,5381353.447,0.036
0.3562936661,5381189.38,0.036
0.3561020371,5381151.906,0.036
0.3560054654,5381144.234,0.037
0.355956983,5381143.156,0.037
0.3559539485,5381143.15,0.038
0.3559531898,5381143.149,0.038
0.3559528104,5381143.149,0.038
0.355952763,5381143.149,0.039
0.3559527511,5381143.149,0.039
0.3559527511,5381143.149,0.04
0.3421348733,5317011.096,0.04
0.3405423043,5314675.345,0.041
0.3401238394,5313751.522,0.041
0.3395481723,5313587.926,0.041
0.3397221159,5313557.866,0.042
0.3399436645,5313540.732,0.042
0.3400587394,5313535.717,0.043
0.3401083426,5313533.959,0.043
0.3401695981,5313533,0.043
0.3401982431,5313532.719,0.044
0.3401982431,5313532.719,0.044
0.2830466643,5141967.101,0.045
0.2829802972,5141261.965,0.045
0.282947786,5141087.43,0.046
0.2829153981,5140914.002,0.046
0.2828992503,5140827.704,0.047
0.282891188,5140784.658,0.047
0.2828871597,5140763.161,0.048
0.2828861529,5140757.79,0.048
0.2828851463,5140752.419,0.048
0.282884643,5140749.734,0.049
0.282884643,5140749.734,0.049
0.2610764362,5063858.189,0.05
0.2581568957,5060580.752,0.05
0.2575024165,5060408.163,0.051
0.2574228902,5060404.615,0.051
0.2574030778,5060404.354,0.051
0.2573931786,5060404.318,0.052
0.2573925603,5060404.317,0.052
0.2573924058,5060404.317,0.053
0.2573923864,5060404.317,0.053
0.2573923768,5060404.317,0.054
