RGAP,Objective Function,Time
0.47875,5.79276e+06,0.001
0.4405078447,5661182.847,0.002
0.4253819376,5594149.751,0.003
0.4208945821,5574237.23,0.004
0.4146905164,5519888.507,0.005
0.3950862996,5449800.352,0.005
0.3887639417,5436678.569,0.006
0.3540299414,5323516.449,0.007
0.3456627721,5282355.054,0.007
0.2801082002,5096384.078,0.008
0.2577100732,5025984.465,0.009
0.2512509962,4962342.322,0.01
0.2158399544,4838862.421,0.01
0.2201474161,4814617.294,0.011
0.182445784,4788437.403,0.012
0.1553456466,4721638.25,0.012
0.133168017,4689403.73,0.013
0.1258530694,4620537.068,0.013
0.1061144792,4583530.245,0.014
0.09366880126,4572017.427,0.015
0.09145748226,4560245.163,0.015
0.08663282039,4533448.571,0.016
0.08388790967,4530489.923,0.016
0.0876396006,4510031.912,0.017
0.04028231874,4415270.086,0.043
0.04794953996,4386100.712,0.043
0.04704846804,4381877.699,0.044
0.04098488403,4378923.69,0.044
0.04044811087,4378833.749,0.045
0.03975413171,4374366.542,0.045
0.04008910407,4373682.458,0.046
0.03905515202,4372424.748,0.046
0.04372386115,4366004.618,0.047
0.04359484069,4354947.449,0.047
0.03559145311,4351452.077,0.048
0.03469548696,4350993.305,0.048
0.02996176658,4344381.278,0.049
0.02938638743,4344202.1,0.049
0.02918116926,4311710.018,0.05
0.02845248393,4307513.748,0.05
0.02638581521,4299931.053,0.051
0.02665175163,4288221.571,0.051
0.02561185211,4286530.357,0.052
0.02328993763,4283777.381,0.052
0.01884952941,4280252.618,0.053
0.01721716774,4275175.818,0.053
0.01596172304,4273795.571,0.054
0.0162393719,4272465.397,0.054
0.006110039509,4255278.661,0.081
0.006489989958,4253573.356,0.081
0.007540659615,4251722.841,0.082
0.007343407052,4250920.179,0.083
0.006702194247,4249303.278,0.083
0.006654472508,4249294.866,0.084
0.006832276209,4249125.705,0.084
0.007028300695,4247952.51,0.085
0.008263185796,4247038.529,0.085
0.008465272631,4246573.205,0.086
0.007745589524,4246172.849,0.086
0.008033714363,4246076.064,0.087
0.006658582085,4245293.868,0.087
0.006394231815,4245272.846,0.088
0.006413895948,4245264.805,0.088
0.006115059125,4242387.62,0.089
0.00649604792,4242206.861,0.089
0.005950187628,4241170.263,0.09
0.005692692449,4240508.479,0.09
0.005018116173,4238808.771,0.091
0.004379898667,4238536.49,0.091
0.004373669735,4238535.607,0.092
0.002796762272,4237185.114,0.092
0.00309090197,4237013.407,0.093
0.001955799631,4232562.169,0.121
0.001955785349,4232562.169,0.122
0.001955808316,4232562.169,0.122
0.001955795006,4232562.169,0.122
0.001955807885,4232562.169,0.123
0.001955800992,4232562.169,0.123
0.00195580284,4232562.169,0.124
0.002811197279,4232431.882,0.124
0.002300502993,4232414.186,0.125
0.00229148417,4232411.669,0.125
0.002144097167,4232403.094,0.126
0.003107267075,4232125.629,0.126
0.002231587529,4231996.67,0.127
0.002244224767,4231993.748,0.127
0.002210004845,4231993.474,0.128
0.002148142062,4231985.053,0.128
0.00102242358,4231814.209,0.129
0.0007291423387,4231755.518,0.129
0.0008026305599,4231732.339,0.13
0.0008842211262,4231697.699,0.13
0.0007854103959,4231685.632,0.131
0.0007743534921,4231684.244,0.132
0.0005784102538,4231647.511,0.132
0.0005458383828,4231646.118,0.133
1.259291126e-05,4231414.779,0.162
1.259291126e-05,4231414.779,0.162
1.259469228e-05,4231414.779,0.163
1.259441722e-05,4231414.779,0.163
1.259450419e-05,4231414.779,0.164
1.259442831e-05,4231414.779,0.164
1.259395877e-05,4231414.779,0.165
1.259491341e-05,4231414.779,0.165
1.259491282e-05,4231414.779,0.166
1.259083508e-05,4231414.779,0.166
1.258544467e-05,4231414.779,0.167
1.258551921e-05,4231414.779,0.167
1.258332192e-05,4231414.779,0.168
1.941112746e-05,4231414.767,0.168
1.879553047e-05,4231414.767,0.169
1.886870737e-05,4231414.766,0.17
0.0003244554671,4231458.284,0.171
0.0003186206022,4231457.32,0.172
0.0003392176354,4231436.837,0.173
0.0002703130284,4231436.297,0.173
0.0001700408812,4231433.897,0.174
0.000455702252,4231403.984,0.175
0.0002943768683,4231398.681,0.176
0.000288596448,4231398.636,0.176
1.205271687e-05,4231335.878,0.214
1.205271687e-05,4231335.878,0.214
1.202390631e-05,4231335.878,0.215
1.182063598e-05,4231335.878,0.216
1.221455264e-05,4231335.877,0.216
1.211858324e-05,4231335.877,0.217
1.274518605e-05,4231335.876,0.218
1.368700849e-05,4231335.876,0.218
1.326430095e-05,4231335.876,0.219
1.089695393e-05,4231335.874,0.22
1.079005204e-05,4231335.869,0.221
1.092142654e-05,4231335.868,0.222
1.016518801e-05,4231335.827,0.223
1.569581614e-05,4231335.801,0.224
1.499698479e-05,4231335.799,0.224
1.632012917e-05,4231335.795,0.225
1.635346009e-05,4231335.795,0.226
1.662165004e-05,4231335.794,0.226
1.650651947e-05,4231335.794,0.227
